ID	6 | 0.02	6 | 0.1	6 | 10	6 | 25	6 | 50	6 | 100	6 | 250	6 | 500	6 | 1000	5 | 0.02	5 | 0.1	5 | 10	5 | 25	5 | 50	5 | 100	5 | 250	5 | 500	5 | 1000	4 | 0.02	4 | 0.1	4 | 10	4 | 25	4 | 50	4 | 100	4 | 250	4 | 500	4 | 1000
1972	no match	no match	CCMSLIB00005463504	CCMSLIB00005463504	CCMSLIB00012269934	CCMSLIB00012269934	CCMSLIB00012269934	CCMSLIB00012269934	CCMSLIB00012269934	no match	no match	CCMSLIB00000569906	CCMSLIB00010124952	CCMSLIB00010124952	CCMSLIB00000079689	CCMSLIB00012324904	CCMSLIB00012324904	CCMSLIB00012324904	no match	no match	CCMSLIB00000079544	CCMSLIB00010124952	CCMSLIB00010119657	CCMSLIB00000079689	CCMSLIB00012324904	CCMSLIB00012324904	CCMSLIB00012324904
435	no match	no match	no match	no match	CCMSLIB00005463539	CCMSLIB00005463539	CCMSLIB00006685180	CCMSLIB00006685180	CCMSLIB00006685180	no match	CCMSLIB00000848199	CCMSLIB00011906427	CCMSLIB00011906427	CCMSLIB00010083954	CCMSLIB00010083954	CCMSLIB00012339216	CCMSLIB00012339216	CCMSLIB00012339216	no match	CCMSLIB00000848199	CCMSLIB00011906427	CCMSLIB00000007028	CCMSLIB00005788087	CCMSLIB00005788087	CCMSLIB00012339216	CCMSLIB00012267808	CCMSLIB00012267808
2485	no match	no match	no match	no match	no match	no match	CCMSLIB00005463509	CCMSLIB00006575625	CCMSLIB00006575625	no match	no match	no match	no match	no match	CCMSLIB00011430310	CCMSLIB00012287222	CCMSLIB00012287222	CCMSLIB00010142872	no match	no match	CCMSLIB00012070102	CCMSLIB00012070102	CCMSLIB00006574059	CCMSLIB00000084924	CCMSLIB00012287222	CCMSLIB00004702770	CCMSLIB00004702770
444	no match	no match	no match	no match	no match	CCMSLIB00005463508	CCMSLIB00005463508	CCMSLIB00005463508	CCMSLIB00005463508	no match	no match	CCMSLIB00000577828	CCMSLIB00012466925	CCMSLIB00012466925	CCMSLIB00006584153	CCMSLIB00012468890	CCMSLIB00006566797	CCMSLIB00006566797	no match	no match	CCMSLIB00012465631	CCMSLIB00012474920	CCMSLIB00012474920	CCMSLIB00012468916	CCMSLIB00010110226	CCMSLIB00012409974	CCMSLIB00012409974
445	no match	no match	no match	no match	no match	CCMSLIB00005463508	CCMSLIB00006575625	CCMSLIB00006575625	CCMSLIB00006575625	no match	no match	CCMSLIB00012470542	CCMSLIB00012470542	CCMSLIB00012470542	CCMSLIB00012470542	CCMSLIB00006560180	CCMSLIB00006380304	CCMSLIB00006380304	no match	no match	CCMSLIB00005739623	CCMSLIB00005739623	CCMSLIB00005725437	CCMSLIB00005725437	CCMSLIB00012248495	CCMSLIB00006380304	CCMSLIB00006380304
958	no match	no match	no match	no match	CCMSLIB00006710015	CCMSLIB00010007702	CCMSLIB00010007702	CCMSLIB00010007702	CCMSLIB00010007702	CCMSLIB00012474738	CCMSLIB00012474738	CCMSLIB00012474738	CCMSLIB00012474738	CCMSLIB00012474738	CCMSLIB00012471939	CCMSLIB00012471939	CCMSLIB00012471939	CCMSLIB00012471939	CCMSLIB00012474738	CCMSLIB00012474738	CCMSLIB00012474738	CCMSLIB00012474738	CCMSLIB00012474738	CCMSLIB00012471939	CCMSLIB00012471939	CCMSLIB00012471939	CCMSLIB00012471939
1986	no match	no match	no match	CCMSLIB00005463504	CCMSLIB00005463504	CCMSLIB00006575498	CCMSLIB00006575498	CCMSLIB00006575498	CCMSLIB00006575498	no match	no match	CCMSLIB00012305268	CCMSLIB00012322258	CCMSLIB00012322258	CCMSLIB00012322258	CCMSLIB00012322258	CCMSLIB00012322258	CCMSLIB00012322258	no match	CCMSLIB00000222511	CCMSLIB00004722008	CCMSLIB00012322258	CCMSLIB00012322258	CCMSLIB00000852739	CCMSLIB00005747787	CCMSLIB00005747787	CCMSLIB00005747787
2499	no match	no match	no match	no match	no match	no match	CCMSLIB00005463504	CCMSLIB00005463504	CCMSLIB00005463504	no match	no match	no match	no match	no match	CCMSLIB00005741271	CCMSLIB00005741271	CCMSLIB00005741271	CCMSLIB00005741271	no match	no match	CCMSLIB00005463508	CCMSLIB00006581285	CCMSLIB00006581285	CCMSLIB00009918383	CCMSLIB00006579635	CCMSLIB00006579635	CCMSLIB00006579635
1990	no match	no match	no match	CCMSLIB00005463505	CCMSLIB00005463505	CCMSLIB00005463505	CCMSLIB00010124530	CCMSLIB00010124530	CCMSLIB00010124530	no match	no match	CCMSLIB00005725547	CCMSLIB00005725547	CCMSLIB00005725547	CCMSLIB00012345361	CCMSLIB00012345361	CCMSLIB00012345361	CCMSLIB00012345361	no match	no match	CCMSLIB00012466179	CCMSLIB00012286883	CCMSLIB00012286883	CCMSLIB00012345361	CCMSLIB00012345361	CCMSLIB00012345361	CCMSLIB00012345361
2502	no match	no match	no match	no match	no match	no match	CCMSLIB00012470341	CCMSLIB00012474864	CCMSLIB00012474864	no match	no match	no match	no match	no match	CCMSLIB00012360919	CCMSLIB00012262590	CCMSLIB00012474864	CCMSLIB00012474864	no match	no match	CCMSLIB00004711593	CCMSLIB00004711593	CCMSLIB00004711593	CCMSLIB00005719912	CCMSLIB00005719912	CCMSLIB00005719912	CCMSLIB00005719912
