row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,LEV623-finale.mzXML Peak area,
2011,445.2022156322003,22.868334,,,,81,,,,,,,9968.404,
2168,449.2065434613306,23.858334,,,,41,,,,,,,19136.914,
2000,449.2323990170029,22.787834,,,,,,,,,,,11978.452,
1904,449.2596028118271,21.989666,,,,96,,,,,,,7468.04,
1934,450.2573900946762,22.209,,,,31,,,,,,,17589.535,
2509,451.18531430524564,28.310167,,,,156,,,,,,,2351.8557,
2318,451.2215140467894,25.036667,,,,,,,,,,,10886.424,
848,453.2373504625318,16.232317,,,,107,,,,,,,57244.74,
1262,453.23796569944,18.440332,,,,126,,,,,,,26728.71,
2348,454.30526943136596,25.426834,,,,52,,,,,,,107126.48,
2255,456.2475387266262,24.3725,,,,2,,,,,,,10648.253,
1972,457.19668594764323,22.584333,,,,7,,,,,,,8555.87,
1655,457.1978131438811,20.609,,,,93,,,,,,,11812.469,
802,457.23236098674226,15.922216,,,,61,,,,,,,83629.5,
478,459.24911537593005,14.192734,,,,,,,,,,,12557.821,
219,461.2639112810205,12.339483,,,,103,,,,,,,10251.63,
2468,463.1832546113109,27.177,,,,24,,,,,,,18748.557,
1894,465.9269948485878,21.947834,,,,96,,,,,,,103819.44,
2404,468.32050699640615,26.1815,,,,17,,,,,,,21435.775,
101,476.30228369970524,10.544184,,,,151,,,,,,,27779.893,
2085,480.2848134679391,23.301167,,,,36,,,,,,,334147.25,
792,482.2984604298999,15.883634,,,,61,,,,,,,9344.029,
161,485.22828909210455,11.340317,,,,,,,,,,,6381.458,
1915,485.28472889612976,22.033167,,,,132,,,,,,,74436.18,
1604,487.2596463306649,20.315666,,,,97,,,,,,,33936.566,
1549,487.2596550259726,19.930834,,,,27,,,,,,,15943.683,
1550,487.76035423549195,19.930834,,,,27,,,,,,,9876.64,
1605,487.7607433679078,20.315666,,,,97,,,,,,,20813.549,
2357,493.202010886455,25.471333,,,,,,,,,,,5554.054,
1824,496.27628748327703,21.568666,,,,28,,,,,,,8782.565,
2256,498.2949651568803,24.3725,,,,2,,,,,,,53234.477,
2201,499.20686036772196,24.060667,,,,29,15,[M+H]+,,2,2201;2202,498.1998,64156.004,
2395,499.20710559274727,26.0535,,,,,,,,,,,5324.0386,
1538,502.2798788504441,19.846834,,,,,,,,,,,16843.98,
1403,507.28539198019536,19.117834,,,,94,,,,,,,11263.651,
2548,509.31547634613906,30.063833,,,,,,,,,,,1887.9968,
2415,512.2719511266266,26.363333,,,,,,,,,,,10174.925,
2301,512.3091670898207,24.780167,,,,43,,,,,,,16096.001,
2003,514.288947459997,22.828,,,,81,,,,,,,12499.899,
2349,516.2123434800135,25.426834,,,,52,,,,,,,9150.725,
2045,519.1779658247879,23.1115,,,,1,11,[2M+Na]+,,2,2040;2045,248.09462,7140.215,
2202,521.1892293215873,24.060667,,,,29,15,[M+Na]+,,2,2201;2202,498.1998,16891.35,
1990,522.2790775221215,22.7125,,,,72,,,,,,,69231.08,
1983,523.2842852018792,22.672,,,,72,,,,,,,43714.145,
1485,530.2975552553373,19.483,,,,18,,,,,,,4485.372,
288,531.2690629370668,12.947984,,,,62,,,,,,,35021.895,
134,538.2934167433222,10.838683,,,,33,,,,,,,8935.179,
2531,540.2126984575602,29.378166,,,,79,,,,,,,7281.7344,
1584,542.3006294076027,20.142166,,,,,,,,,,,40739.945,
1197,543.2530868436426,18.1095,,,,51,,,,,,,37838.246,
2430,545.2331195146033,26.597,,,,125,,,,,,,7579.8496,
1927,545.298526177621,22.170334,,,,,,,,,,,18438.215,
1668,547.2450281982227,20.697666,,,,,,,,,,,8434.4795,
937,547.283336565019,16.705334,,,,70,,,,,,,13667.08,
2555,554.2285183841931,30.3075,,,,,,,,,,,2390.6565,
109,554.3191818729273,10.629967,,,,151,,,,,,,16608.826,
2493,555.2767198763328,27.996166,,,,119,,,,,,,13303.97,
2328,559.2478486940438,25.2175,,,,10,,,,,,,50059.086,
2412,559.2490704633151,26.275167,,,,68,,,,,,,6858.926,
762,559.3769066914208,15.806933,,,,61,,,,,,,17720.916,
659,559.3772169395813,15.3739,,,,,,,,,,,26602.576,
2499,561.2637346527722,28.035166,,,,110,,,,,,,24996.861,
2500,562.2665655150975,28.035166,,,,110,,,,,,,9535.806,
842,562.3255674187266,16.156233,,,,73,,,,,,,70583.266,
1253,563.3080886015141,18.397667,,,,102,,,,,,,5631.95,
2224,565.2592279554971,24.2255,,,,3,,,,,,,61794.777,
2020,565.2593587375449,22.91,,,,81,,,,,,,104436.71,
2225,566.2630251020399,24.2255,,,,3,,,,,,,23319.44,
2107,567.2743432603178,23.422667,,,,117,,,,,,,34294.207,
2302,567.2743528570635,24.780167,,,,43,,,,,,,10357.859,
1787,573.3557770579662,21.3975,,,,0,,,,,,,21958.24,
1396,573.3918620107844,19.0765,,,,84,,,,,,,9898.766,
703,575.3710821704203,15.530784,,,,146,,,,,,,8219.403,
1958,577.3513457686112,22.425167,,,,,,,,,,,19337.777,
1003,577.3871721952981,17.1,,,,20,,,,,,,13825.985,
1082,577.3873493144862,17.527834,,,,15,,,,,,,22636.518,
2563,579.2921391049937,30.542166,,,,64,33,[2M+Na]+,,2,2563;2561,278.15172,62197.74,
2325,585.328714058603,25.174334,,,,10,,,,,,,5187.072,
956,591.3667917361628,16.821,,,,115,,,,,,,11273.937,
515,591.3676722347025,14.4323,,,,60,,,,,,,12072.267,
224,591.3679158275145,12.38085,,,,103,,,,,,,23049.572,
