Id	cg	cs	ci	tgs	tgi	tsi	K	Ranks K
2234	0.600792	0.2403524715379396	0.1948369098162221	0.5507246376811594	0.047619047619047616	0.047058823529411764	8.062990428224705	707
1049	0.5813354	0.5	0.3723143482657541	0.25	0.05405405405405406	0.25	8.218808935332191	708
1791	0.618172425	0.0332062554625039	0.1685005224131874	0.13709677419354838	0.08737864077669903	0.10457516339869281	8.247435291672746	709
1246	0.620659	0.0103528160078878	0.1006784628767111	0.08450704225352113	0.06756756756756757	0.05084745762711865	8.304450118615604	710
1230	0.611686	0.1675783190394052	0.4248933542664302	0.078125	0.1076923076923077	0.3148148148148148	8.478292568930655	711
190	0.5347350000000001	0.676637194416072	0.1206489160520216	0.35294117647058826	0.16	0.21052631578947367	8.572955033386469	712
2015	0.608683725	0.027624689494545	0.2491317650196207	0.12698412698412698	0.1015625	0.7710843373493976	8.579964698927963	713
155	0.6216505499999999	0.0974242691836902	0.1076854736226345	0.06976744186046512	0.07407407407407407	0.07692307692307693	8.610211514987512	714
262	0.5063529999999999	0.3836159147762116	0.0776250408327333	1.0	0.0625	0.0625	9.207637136089527	715
874	0.60525	0.5	0.278100237769959	0.25	0.1411764705882353	0.25	9.267625297212444	716
1666	0.6353704499999999	0.0592126950503698	0.178351234799215	0.07482993197278912	0.05555555555555555	0.23404255319148937	9.700606781124936	717
54	0.57056715	0.6638339286541306	0.0897503092544718	0.13333333333333333	0.14705882352941177	0.04878048780487805	9.711552459650704	718
502	0.624767	0.3950071844749923	0.2426262073260411	0.2558139534883721	0.18681318681318682	0.21348314606741572	9.772160720345028	719
179	0.537566	0.1915920356153849	0.1945686365616156	1.0	0.05555555555555555	0.05555555555555555	9.822402472309163	720
732	0.6371	0.0259431687736196	0.233227777751893	0.1375	0.10344827586206896	0.08	9.824392644123918	721
