formulaRank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	formulaId	alignedFeatureId	mappingFeatureId
1	C9H18N4O3S	[M + H]+	C9H19N4O3S+	40,887	40,887	0,000	15	0,488	-0,214	5,051	0,274		263,117	1234	585857130926863939	585822224540399175	1645
1	C26H42N10O5S	[M + H]+	C26H43N10O5S+	108,880	106,589	2,291	52	0,877	3,140	4,611	3,932		607,316	1234	585857450608326610	585822224632673868	1648
1	C31H41N7O6	[M + H]+	C31H42N7O6+	83,475	83,475	0,000	38	0,898	-1,069	4,639	0,463		608,319	1234	585858380229680303	585822224708171345	1649
1	C20H24N8O5	[M + H]+	C20H25N8O5+	101,910	101,910	0,000	50	0,859	1,485	4,158	7,803		457,198	1237	585858190731022791	585822224792057430	1655
1	C37H49N5O11	[M + H]+	C37H50N5O11+	22,324	22,324	0,000	17	0,399	-4,398	5,878	-6,191		740,346	1237	585858327767325725	585822224863360603	1661
1	C40H46N6O11	[M + H]+	C40H47N6O11+	68,386	60,613	7,773	39	0,757	0,209	5,047	4,378		787,333	1239	585858322537028589	585822224947246688	1666
1	C26H34N4O9	[M + H]+	C26H35N4O9+	103,601	103,601	0,000	43	0,745	1,708	4,136	9,456		547,245	1242	585858257848275956	585822225039521381	1668
1	C33H50N4O9	[M + H]+	C33H51N4O9+	75,908	75,908	0,000	42	0,771	-2,378	3,868	-9,571		647,359	1242	585858346314538090	585822225131796074	1670
1	C36H50N6O11S	[M + H]+	C36H51N6O11S+	70,048	70,048	0,000	40	0,783	0,585	3,544	4,548		775,337	1253	585860095851018068	585822225299568244	1693
1	C36H50N2O5S	[M + H]+	C36H51N2O5S+	63,850	63,850	0,000	43	0,804	0,363	4,983	-8,567		623,346	1256	585859824303388026	585822225396037241	1700
1	C28H48N6O11	[M + H]+	C28H49N6O11+	118,279	118,279	0,000	50	0,902	0,922	3,337	-4,808		645,342	1258	585859328842838719	585822225475729022	1719
1	C37H47N3O7	[M + H]+	C37H48N3O7+	79,033	76,183	2,850	42	0,799	-0,991	4,489	-4,080		646,346	1258	585859354050605861	585822225555420803	1720
1	C32H54N8O14S	[M + H]+	C32H55N8O14S+	80,768	79,720	1,048	49	0,854	-0,552	4,860	4,910		807,359	1258	585859202678174234	585822225647695496	1721
1	C31H49N15O9S	[M + H]+	C31H50N15O9S+	57,219	57,219	0,000	43	0,827	-0,249	2,692	0,203		808,363	1258	585859233678275208	585822225727387277	1722
1	C13H20ClN3O3	[M + H]+	C13H21ClN3O3+	52,513	52,513	0,000	15	0,470	0,385	3,940	7,759		302,129	1261	585859016480434825	585822225815467666	1723
1	C18H29NO3	[M + H]+	C18H30NO3+	52,166	52,166	0,000	12	0,383	6,276	7,969	-5,387		308,220	1263	585859137884565787	585822225899353751	1732
1	C19H22N2O	[M + H]+	C19H23N2O+	50,321	50,043	0,278	16	0,370	2,796	6,037	-2,642		295,180	1266	585859001359968140	585822225958074012	1737
1	C32H46N6O8	[M + H]+	C32H47N6O8+	93,736	93,736	0,000	45	0,821	1,703	3,533	6,483		643,349	1266	585859889096996274	585822226016794273	1742
1	C12H14N2	[M + H]+	C12H15N2+	13,029	13,029	0,000	3	0,087	6,738	6,738	12,372		187,125	1269	585859003088021466	585822226083903142	1745
1	C17H24N4O5	[M + H]+	C17H25N4O5+	58,158	58,158	0,000	25	0,644	-1,232	4,821	9,594		365,185	1269	585859031231802563	585822226159400619	1747
1	C35H44N6O5	[M + H]+	C35H45N6O5+	55,238	55,238	0,000	38	0,740	0,239	3,216	1,216		629,345	1269	585859129718255773	585822226306201269	1754
1	C30H48N6O12	[M + H]+	C30H49N6O12+	89,380	89,380	0,000	43	0,752	-2,010	3,219	-1,908		685,339	1269	585859103952645935	585822226381698746	1760
1	C12H24N4O4S	[M + H]+	C12H25N4O4S+	102,205	102,205	0,000	38	0,674	2,276	4,934	1,175		321,159	1274	585859017872943821	585822226461390527	1763
1	C14H22N4O4S	[M + H]+	C14H23N4O4S+	60,702	60,702	0,000	21	0,478	-1,647	3,601	-5,632		343,142	1274	585859115629588574	585822226536888004	1764
1	C18H29N5O4	[M + H]+	C18H30N5O4+	73,613	73,613	0,000	18	0,603	-2,384	4,394	4,179		380,231	1277	585861380855741040	585822226608191177	1770
1	C21H35N5O4	[M + H]+	C21H36N5O4+	75,662	71,246	4,416	35	0,734	-0,820	2,630	5,610		422,279	1277	585861586577969728	585822226671105742	1771
1	C37H50N4O12	[M + H]+	C37H51N4O12+	92,113	92,113	0,000	39	0,658	-5,586	6,152	-5,528		743,346	1277	585861545180188835	585822226729826003	1773
1	C10H17N5O3S	[M + H]+	C10H18N5O3S+	69,157	69,157	0,000	24	0,470	-0,096	5,343	4,107		288,114	1279	585861407724453180	585822226788546264	1774
1	C11H8N2O	[M + H]+	C11H9N2O+	45,903	42,445	3,458	5	0,552	-4,624	4,624	-1,023		185,071	1284	585861382709623548	585822226843072221	1779
1	C11H22N6O3	[M + H]+	C11H23N6O3+	79,174	78,279	0,895	20	0,381	10,183	10,183	-0,923		287,182	1284	585861581158928867	585822226914375394	1780
1	C35H50O5	[M + Na]+	C35H50NaO5+	1016,722	1016,722	0,000	13	0,193	-0,324	3,407	1,281	DG(24:6_8:3)	573,356	1284	585861572287975813	585822226981484263	1787
1	C45H46N4O8	[M + H]+	C45H47N4O8+	46,388	39,656	6,732	32	0,732	2,823	5,037	0,051		771,339	1284	585861408093551978	585822227040204524	1791
1	C30H44N4O7S	[M + H]+	C30H45N4O7S+	97,655	97,655	0,000	42	0,764	0,410	3,853	1,475		605,301	1286	585861638981604430	585822227191199478	1803
1	C20H24N4O3	[M + H]+	C20H25N4O3+	63,916	59,941	3,975	24	0,680	4,517	5,487	8,107		369,195	1289	585861427362188127	585822227270891259	1810
1	C31H50N6O13	[M + H]+	C31H51N6O13+	85,405	85,405	0,000	38	0,694	2,651	4,345	-2,086		715,349	1289	585861523818598430	585822227358971648	1815
1	C41H48N6O11	[M + H]+	C41H49N6O11+	76,957	75,776	1,180	39	0,781	3,915	5,127	4,164		801,349	1291	585861564050362640	585822227438663429	1820
