formulaRank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	C21H35NO	[M + H]+	C21H36NO+	256,856	256,856	0,000	52	0,958	0,564	0,573	2,981		318,280	100	1,665	637283813553030325	637283238685914925	39	
1	C16H12O5	[M + H]+	C16H13O5+	120,434	114,791	5,643	42	0,888	-0,290	1,023	1,438		285,076	107	1,789	637283812630283387	637283241227663219	53	
1	C23H23N3O3	[M + H]+	C23H24N3O3+	80,743	77,398	3,345	37	0,779	0,023	3,483	1,005		390,182	113	1,888	637283814974899496	637283235150116578	24	
1	C26H29NO4	[M + H]+	C26H30NO4+	96,742	95,690	1,052	44	0,503	-6,188	7,295	-4,414		420,215	116	1,926	637283834449054944	637283233426257549	7	
1	C21H33NO	[M + H]+	C21H34NO+	207,396	207,396	0,000	51	0,910	1,230	2,144	1,704		316,264	116	1,930	637283826094000855	637283240271361852	42	
1	C30H47NO6	[M + H]+	C30H48NO6+	5126,793	5126,793	0,000	48	0,935	0,150	0,590	0,415	TG(7:2_8:0_12:4)	518,348	116	1,931	637283807198659487	637283241764534171	61	
1	C15H11N5	[M + H]+	C15H12N5+	80,084	79,075	1,009	41	0,828	-0,671	0,935	1,290		262,109	116	1,932	637283818170959370	637283233539503762	8	
1	C29H39NO12	[M + H]+	C29H40NO12+	178,131	173,206	4,925	44	0,923	0,586	0,772	0,787		594,255	116	1,934	637283835778649434	637283235749902085	31	
1	C10H8O4	[M + H]+	C10H9O4+	86,278	80,967	5,310	17	0,848	-0,063	1,405	1,786		193,050	120	1,994	637283800458412225	637283243085740044	80	
1	C10H12O4	[M + H]+	C10H13O4+	195,108	190,116	4,992	35	0,836	1,565	2,015	3,322		197,081	120	1,996	637283801536348606	637283233652749975	9	
1	C20H24O10	[M + H]+	C20H25O10+	225,622	219,353	6,269	57	0,989	6,404	6,404	-0,267		425,144	120	1,998	637283829545913243	637283237163382553	35	
1	C21H33NO	[M + H]+	C21H34NO+	162,212	162,212	0,000	40	0,743	0,259	2,488	4,992		316,265	120	2,000	637283806124917555	637283238992099122	40	
1	C18H35NO3	[M + H]+	C18H36NO3+	129,572	124,274	5,299	26	0,664	-4,468	4,933	1,876		314,270	120	2,000	637283835472465209	637283242699864041	73	
1	C20H24O9	[M + H]+	C20H25O9+	262,609	262,609	0,000	57	0,988	-1,682	1,738	0,712		409,150	120	2,000	637283868821378373	637283236915918612	34	
1	C20H32N2O7	[M + H]+	C20H33N2O7+	39,070	34,129	4,941	10	0,575	5,589	6,358	4,289		413,230	120	2,004	637283828904184680	637283238052575011	37	
1	C22H35NO	[M + H]+	C22H36NO+	178,954	178,954	0,000	46	0,867	0,422	1,128	1,631		330,280	120	2,007	637283837422816718	637283240510437190	44	
1	C21H35NO	[M + H]+	C21H36NO+	204,614	204,614	0,000	48	0,955	0,345	0,409	3,924		318,280	121	2,009	637283830271527919	637283239424112439	41	
1	C24H27NO3	[M + H]+	C24H28NO3+	175,402	175,402	0,000	40	0,705	-0,631	5,801	-0,265		378,206	124	2,060	637283837464759776	637283243467421743	87	
1	C21H37NO	[M + H]+	C21H38NO+	165,377	165,377	0,000	39	0,902	-0,118	0,787	2,931		320,296	124	2,068	637283861758169889	637283241152165742	52	
1	C22H37NO	[M + H]+	C22H38NO+	182,726	182,726	0,000	41	0,914	-0,043	0,521	4,119		332,296	124	2,071	637283853101125740	637283240409773889	43	
1	C22H37NO	[M + H]+	C22H38NO+	191,456	191,456	0,000	44	0,917	1,258	1,258	3,186		332,296	124	2,071	637283856204910814	637283240653043531	45	
1	C11H12N6O5	[M + H]+	C11H13N6O5+	29,129	24,024	5,104	8	0,570	-1,521	4,628	1,346		309,095	124	2,072	637283857459007819	637283242892802045	77	
1	C22H35NO	[M + H]+	C22H36NO+	239,506	239,506	0,000	51	0,950	-0,101	0,478	0,118		330,279	128	2,134	637283903797681583	637283233094907518	4	
1	C21H35NO	[M + H]+	C21H36NO+	232,622	232,622	0,000	42	0,877	0,101	0,391	0,153		318,279	132	2,204	637283872319428292	637283236320327439	33	
1	C15H10O6	[M + H]+	C15H11O6+	158,267	154,679	3,589	49	0,926	-1,513	1,659	1,064		287,055	136	2,267	637283881999882437	637283241445767042	56	
1	C16H12O7	[M + H]+	C16H13O7+	204,315	200,733	3,581	56	0,978	0,118	0,848	1,422		317,066	136	2,273	637283902992375130	637283241361880957	55	
1	C43H62O14	[M + H]+	C43H63O14+	73,790	67,353	6,437	18	0,395	-2,749	3,559	-3,041		803,419	137	2,282	637283877079963626	637283238258095912	38	
1	C14H9NO2	[M + H]+	C14H10NO2+	102,356	98,986	3,369	36	0,837	-1,450	1,726	1,495		224,071	137	2,283	637283866644534352	637283234458056383	17	
1	C33H42N6O6	[M + H]+	C33H43N6O6+	71,850	71,590	0,260	34	0,836	2,050	2,137	2,923		619,326	139	2,313	637283884310944093	637283235078813405	23	
1	C15H18O3	[M + H]+	C15H19O3+	222,231	220,142	2,089	45	0,913	0,445	0,725	2,141		247,133	141	2,347	637283859245781541	637283242985076738	78	
1	C25H31N3O2	[M + H]+	C25H32N3O2+	73,733	73,733	0,000	21	0,918	-0,739	1,016	0,976		406,249	145	2,418	637283863725298576	637283241584179084	58	
1	C13H9NO	[M + H]+	C13H10NO+	93,141	93,141	0,000	34	0,876	-0,005	0,688	1,069		196,076	153	2,555	637283860134974100	637283242116855732	66	
1	C20H20N3O6	[M + H]+	C20H21N3O6+	92,726	89,893	2,833	31	0,801	0,474	4,332	4,493		399,144	165	2,750	637283889646099301	637283235410163446	28	
1	C21H22O6	[M + H]+	C21H23O6+	99,360	99,360	0,000	34	0,771	-0,770	2,963	-2,977		371,148	170	2,826	637283869505049997	637283233845687969	11	
1	C21H37N	[M + H]+	C21H38N+	176,701	176,701	0,000	32	0,663	1,755	2,931	1,588		304,300	170	2,828	637283867147850918	637283232662894196	2	
1	C21H37N	[M + H]+	C21H38N+	149,467	149,467	0,000	29	0,593	0,983	2,302	2,410		304,301	170	2,828	637283870784312916	637283235355637489	27	
1	C32H43NO9	[M + H]+	C32H44NO9+	104,961	104,961	0,000	40	0,815	1,978	2,118	1,060		586,302	185	3,083	637283961410641989	637283243219957782	82	
1	C16H14O4	[M + H]+	C16H15O4+	90,330	84,465	5,865	18	0,809	2,281	2,382	0,423		271,097	190	3,165	637283866531288101	637283240854370138	48	
1	C15H8O6	[M + H]+	C15H9O6+	173,208	170,618	2,590	27	0,591	1,066	5,725	-0,542		285,039	193	3,222	637283870473934354	637283242796333043	75	
1	C11H14O3	[M + H]+	C11H15O3+	204,505	199,003	5,502	38	0,868	-1,366	1,366	0,406		195,102	193	3,224	637283860592153273	637283243425478698	86	
1	C18H16O7	[M + H]+	C18H17O7+	126,984	122,961	4,023	44	0,867	1,712	1,802	1,045		345,097	198	3,301	637283905886445061	637283242272044990	68	
1	C23H39NO	[M + H]+	C23H40NO+	131,254	125,049	6,206	34	0,722	1,262	1,918	-0,986		346,310	223	3,716	637284019292037520	637283232839054969	3	
1	C18H16O7	[M + H]+	C18H17O7+	221,778	218,430	3,348	49	0,900	0,642	1,638	0,668		345,097	260	4,330	637284078662411942	637283243559696436	88	
1	C23H32N2O9	[M + H]+	C23H33N2O9+	77,556	76,217	1,339	34	0,869	-0,705	4,247	0,443		481,218	273	4,546	637284055522436058	637283243677136958	90	
1	C19H37NO3	[M + H]+	C19H38NO3+	120,557	120,557	0,000	36	0,757	1,172	1,285	1,156		328,285	435	7,252	637284106185435481	637283241886168997	63	
1	C39H54N6O6	[M + H]+	C39H55N6O6+	102,260	95,886	6,374	44	0,743	1,146	3,882	5,502		703,422	756	12,607	637284090620373112	637283243932989522	94	
1	C27H36N6O5	[M + H]+	C27H37N6O5+	48,131	48,131	0,000	38	0,748	-2,942	4,792	-7,453		525,278	1114	18,566	637284156382872309	637283243761023043	91	
1	C45H56N4O5	[M + H]+	C45H57N4O5+	74,247	64,830	9,417	21	0,874	-1,378	3,721	-0,051		733,432	1337	22,285	637284109322775180	637283243945572439	95	
1	C37H40N4O4	[M + H]+	C37H41N4O4+	84,338	77,499	6,840	38	0,757	-0,035	4,012	-0,053		605,312	1337	22,288	637284125848336480	637283242741807086	74	
1	C41H50N4O3	[M + H]+	C41H51N4O3+	155,176	146,841	8,335	37	0,894	-4,089	4,288	0,405		647,396	1340	22,336	637284130269133266	637283243916212301	93	
1	C36H48N6O5	[M + H]+	C36H49N6O5+	80,076	73,611	6,465	42	0,839	0,588	1,630	3,509		645,378	1490	24,828	637284101244545232	637283243844909128	92	
